#isin;date;price;priceCurrency;NotationMorningStar;NotationLipperCapitalPreservation;NotationLipperRegularPerformances;NotationLipperAbsolutePerformances;SharpeRatio1;SharpeRatio3;SharpeRatio5;SharpeRatio10
FR0010032326;2014-04-26;267.85;EUR;4;3;3;3;1.81;0.7;1.41;0.58
FR0010032326;2014-04-27;267.85;EUR;4;3;3;3;1.81;0.7;1.41;0.58
FR0010032326;2014-05-28;268.83;EUR;4;3;3;3;1.6;0.68;1.33;0.59
FR0010032326;2014-07-22;270.79;EUR;4;3;3;3;1.76;0.69;1.24;0.61
FR0010032326;2014-09-06;272.26;EUR;4;3;3;3;4.32;1.23;1.06;0.59
FR0010032326;2014-05-17;269.27;EUR;4;3;3;3;1.81;0.7;1.41;0.58
