#isin;date;price;priceCurrency;NotationMorningStar;NotationLipperCapitalPreservation;NotationLipperRegularPerformances;NotationLipperAbsolutePerformances;SharpeRatio1;SharpeRatio3;SharpeRatio5;SharpeRatio10
FR0000445173;2014-04-26;67.42;EUR;5;4;4;4;2.01;0.72;1.23;0.5
FR0000445173;2014-04-27;67.42;EUR;5;4;4;4;2.01;0.72;1.23;0.5
FR0000445173;2014-05-17;67.46;EUR;5;4;4;4;2.01;0.72;1.23;0.5
FR0000445173;2014-05-28;67.6;EUR;5;4;4;4;1.83;0.65;1.12;0.49
FR0000445173;2014-07-22;67.04;EUR;5;4;4;4;2.74;0.73;1.1;0.48
FR0000445173;2014-09-06;67.47;EUR;5;4;4;4;1.67;0.76;0.97;0.47
FR0000445173;2014-09-28;67.56;EUR;5;4;4;4;1.92;1.32;0.92;0.48
FR0000445173;2014-10-19;61.1;EUR;5;4;4;4;1.6;1.73;0.88;0.47
