#isin;date;price;priceCurrency;NotationMorningStar;NotationLipperCapitalPreservation;NotationLipperRegularPerformances;NotationLipperAbsolutePerformances;SharpeRatio1;SharpeRatio3;SharpeRatio5;SharpeRatio10
LU0568605769;2014-04-26;148.17;USD;2;3;3;3;1.05;1.0;1.28;0.19
LU0568605769;2014-04-27;148.17;USD;2;3;3;3;1.05;1.0;1.28;0.19
LU0568605769;2014-05-17;146.86;USD;2;4;3;3;1.05;1.0;1.28;0.19
LU0568605769;2014-05-28;149.67;USD;2;4;3;3;1.29;1.05;1.17;0.18
LU0568605769;2014-07-22;156.88;USD;3;4;3;3;1.8;1.3;1.28;0.2
LU0568605769;2014-09-06;156.94;USD;3;4;3;3;1.38;1.41;1.18;0.22
LU0568605769;2014-09-28;155.46;USD;3;4;3;3;2.7;2.04;1.2;0.26
LU0568605769;2014-10-19;140.86;USD;2;4;3;3;2.76;2.28;1.18;0.27
