#isin;date;price;priceCurrency;NotationMorningStar;NotationLipperCapitalPreservation;NotationLipperRegularPerformances;NotationLipperAbsolutePerformances;SharpeRatio1;SharpeRatio3;SharpeRatio5;SharpeRatio10
LU0119345287;2014-04-26;6.2;EUR;5;3;5;5;1.76;0.71;1.06;0.38
LU0119345287;2014-04-27;6.2;EUR;5;3;5;5;1.76;0.71;1.06;0.38
LU0119345287;2014-05-17;6.22;EUR;5;3;5;5;1.76;0.71;1.06;0.38
LU0119345287;2014-05-28;6.41;EUR;5;3;5;5;1.75;0.68;0.98;0.38
LU0119345287;2014-07-22;6.16;EUR;5;3;5;5;2.0;0.74;0.93;0.37
LU0119345287;2014-09-06;6.28;EUR;4;3;5;5;1.23;1.31;0.74;0.37
LU0119345287;2014-09-28;6.1;EUR;4;3;5;5;1.23;1.31;0.74;0.37
LU0119345287;2014-10-19;5.45;EUR;4;3;5;5;0.86;1.49;0.69;0.36
